Drug_Type,Name,Batch_No,Description,Stock,Manufacturing_Date,Expiration_Date,Price,Category
GHRITA,Panchatiktaguggulu Ghrita,,180 gms.(J),,,,414.36,
GHRITA,Sarasvata Ghrita,,100 gms.(J),,,,140.82,
GHRITA,Sukumar Ghrita,,100 gms.(J),,,,137.18,
GUGGULU,Gokshuradi Guggulu,,20 gms.,,,,42.95,
GUGGULU,Gokshuradi Guggulu,,1 Kg.,,,,1798.2,
GUGGULU,Kaishore Guggulu,,20 gms.,,,,41.93,
GUGGULU,Kaishore Guggulu,,1 Kg.,,,,1747.51,
GUGGULU,Kanchnar Guggulu,,20 gms.,,,,34.28,
GUGGULU,Kanchnar Guggulu,,1 Kg.,,,,1365.09,
GUGGULU,Laksa Guggulu,,20 gms.,,,,38.17,
GUGGULU,Laksa Guggulu,,1 Kg.,,,,1559.27,
GUGGULU,M Ayur Antacid Cap.,,40 cap.,,,,52.1,
GUGGULU,M Ayur Antacid Syp,,100 ml.,,,,23.1,
GUGGULU,M Heamo Care Capsule,,40 cap.,,,,54.3,
GUGGULU,M Heamo Care Syp,,100 ml.,,,,22.6,
GUGGULU,M Immuno Care Cap,,40 cap.,,,,69.6,
GUGGULU,M Leuco  Care Cap,,40 cap.,,,,51.2,
GUGGULU,M Leuco  Care Syp,,100 ml.,,,,22.8,
GUGGULU,M Live  Care Cap,,40 cap.,,,,50.3,
GUGGULU,M Live  Care Syp,,100 ml.,,,,25.4,
GUGGULU,M Obi Care Capsule,,40 cap.,,,,68.1,
GUGGULU,M Psora Care Capsule,,40 cap.,,,,38.5,
GUGGULU,M Psora Care Cream,,20 gms.,,,,21.3,
GUGGULU,M Rheuma Care Cream,,20 gms.,,,,27.1,
GUGGULU,M Rheuma Care Oil,,50 Ml.,,,,74.9,
GUGGULU,M Rheuma Care Oint,,60 gms.,,,,65.1,
GUGGULU,M Rheuma Comp Capsule,,40 cap.,,,,58.5,
GUGGULU,M Stress  Care Cap,,40 cap.,,,,76,
GUGGULU,M Sugar Care Cap,,40 cap.,,,,43.5,
GUGGULU,M Thyro Care Cap,,40 cap.,,,,38.4,
GUGGULU,M. B.P. Care Capsule,,40 cap.,,,,59.4,
GUGGULU,M. Cough Care Syrup,,100 ml.,,,,39.4,
GUGGULU,M. Desento Care Capsule,,40 cap.,,,,45.5,
GUGGULU,M. Gyno Care Capsule,,40 cap.,,,,63.6,
GUGGULU,M.Mamajjaka Capsule,,40 cap.,,,,99.4,
GUGGULU,M.Mamajjaka Capsule,,60 cap.,,,,141.1,
GUGGULU,Punarnavadi Guggulu,,20 gms.,,,,40.91,
GUGGULU,Punarnavadi Guggulu,,1 Kg.,,,,1696.64,
GUGGULU,Saptavimshatika Guggulu,,20 gms.,,,,42.35,
GUGGULU,Saptavimshatika Guggulu,,1 Kg.,,,,1768.39,
GUGGULU,Singhnad Guggulu,,20 gms.,,,,22.06,
GUGGULU,Singhnad Guggulu,,1 Kg.,,,,753.85,
GUGGULU,Triphala Guggulu,,20 gms.,,,,42.41,
GUGGULU,Triphala Guggulu,,1 Kg.,,,,1771.64,
GUGGULU,Tryadashanga Guggulu,,20 gms.,,,,35.72,
GUGGULU,Tryadashanga Guggulu,,1 Kg.,,,,1436.86,
GUGGULU,Vatari Guggulu,,20 gms.,,,,25.12,
GUGGULU,Vatari Guggulu,,1 Kg.,,,,906.75,
GUGGULU,Vyoshadi Guggulu,,20 gms.,,,,40.25,
GUGGULU,Vyoshadi Guggulu,,1 Kg.,,,,1663.15,
GUGGULU,Yograj Guggulu,,20 gms.,,,,34.67,
GUGGULU,Yograj Guggulu,,1 Kg.,,,,1384.63,
HABB & QURS,Bandiq-ul- Bazoori,,30 pill.,,,,14.45,
HABB & QURS,Bandiq-ul- Bazoori,,1000 pill.,,,,245.41,
HABB & QURS,Habb-e-Azaraqi,,30 pill.,,,,11.55,
HABB & QURS,Habb-e-Azaraqi,,1000 pill.,,,,222.16,
HABB & QURS,Habb-e-Bawaseer Amya,,30 pill.,,,,19.46,
HABB & QURS,Habb-e-Bawaseer Amya,,1000 pill.,,,,394.5,
HABB & QURS,Habb-e-Bukhar,,30 pill.,,,,30,
HABB & QURS,Habb-e-Bukhar,,1000 pill.,,,,729.99,
HABB & QURS,Habb-e-Hindi Zeeqi,,30 pill.,,,,13.6,
HABB & QURS,Habb-e-Hindi Zeeqi,,1000 pill.,,,,291.93,
HABB & QURS,Habb-e-Jawahar,,30 pill.,,,,214.89,
HABB & QURS,Habb-e-Jawahar,,1000 pill.,,,,6821.7,
HABB & QURS,Habb-e-Jund,,30 pill.,,,,135.62,
HABB & QURS,Habb-e-Jund,,1000 pill.,,,,4440.4,
HABB & QURS,Habb-e-Kabid Naushadri,,30 pill.,,,,17.92,
HABB & QURS,Habb-e-Kabid Naushadri,,1000 pill.,,,,351.19,
HABB & QURS,Habb-e-Mudirr,,30 pill.,,,,229.05,
HABB & QURS,Habb-e-Mudirr,,1000 pill.,,,,7617.35,
HABB & QURS,Habb-e-Muqil,,30 pill.,,,,27.07,
HABB & QURS,Habb-e-Muqil,,1000 pill.,,,,666.23,
HABB & QURS,Habb-e-Musaffi Khoon,,30 pill.,,,,10.84,
HABB & QURS,Habb-e-Musaffi Khoon,,1000 pill.,,,,120.31,
HABB & QURS,Habb-e-Ral,,30 pill.,,,,8.78,
HABB & QURS,Habb-e-Ral,,1000 pill.,,,,56.47,
HABB & QURS,Habb-e-Rasaut,,30 pill.,,,,15.17,
HABB & QURS,Habb-e-Rasaut,,1000 pill.,,,,258.24,
HABB & QURS,Habb-e-Shifa,,30 pill.,,,,7.92,
HABB & QURS,Habb-e-Shifa,,1000 pill.,,,,88.73,
HABB & QURS,Habb-e-Suranjan,,30 pill.,,,,14.66,
HABB & QURS,Habb-e-Suranjan,,1000 pill.,,,,252.63,
HABB & QURS,Habb-e-Surfa,,30 pill.,,,,40.77,
HABB & QURS,Habb-e-Surfa,,1000 pill.,,,,1286.51,
HABB & QURS,Habb-e-Tinkar,,30 pill.,,,,15.84,
HABB & QURS,Habb-e-Tinkar,,1000 pill.,,,,279.31,
HABB & QURS,Habb-e-Tursh Mustahi,,30 pill.,,,,23.98,
HABB & QURS,Habb-e-Tursh Mustahi,,1000 pill.,,,,563.06,
HABB & QURS,Qurs-e-Ghafis,,30 pill.,,,,29.76,
HABB & QURS,Qurs-e-Ghafis,,1000 pill.,,,,722.41,
HABB & QURS,Qurs-e-Kafoor,,30 pill.,,,,18.69,
